cesta_k_souboru,sirka,vyska,prumerny_jas,label
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000039.jpg,767,767,105.98,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000040.jpg,474,1026,102.96,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000041.jpg,474,1116,65.69,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000042.jpg,474,474,82.22,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000043.jpg,474,471,79.81,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000044.jpg,474,842,52.37,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000045.jpg,474,1024,81.12,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000046.jpg,474,842,26.69,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000047.jpg,600,1200,71.14,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000048.jpg,1280,720,36.18,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000049.jpg,736,736,35.71,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000050.jpg,1920,1080,34.36,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000051.jpg,862,1390,129.39,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000052.jpg,1892,4096,31.41,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000053.jpg,1920,1080,75.5,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000054.jpg,720,890,120.86,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000055.jpg,693,693,90.8,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000056.jpg,736,736,38.07,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000057.jpg,474,1024,70.09,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000058.jpg,1065,2047,80.17,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000059.jpg,720,720,76.17,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000060.jpg,236,236,21.11,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000061.jpg,720,720,33.47,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000062.jpg,775,775,53.75,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000063.jpg,736,736,53.77,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000064.jpg,736,1308,77.26,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000065.jpg,735,676,48.27,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000066.jpg,600,800,70.28,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000067.jpg,727,1024,72.15,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000068.jpg,1200,1600,70.29,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000069.jpg,736,709,69.34,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000001.jpg,1080,1920,66.42,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000002.jpg,982,1690,93.81,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000003.jpeg,4000,6000,38.0,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000004.jpg,2288,3252,164.12,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000005.jpg,683,1024,113.35,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000006.jpg,1080,2160,131.93,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000007.jpeg,4000,6000,134.92,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000008.jpg,636,358,66.6,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000009.jpg,1205,1567,162.46,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000010.jpg,3333,1874,190.81,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000011.jpg,1242,2208,78.97,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000012.jpg,1600,689,91.92,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000013.jpg,1600,1200,138.77,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000014.jpg,1763,1200,49.33,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000015.jpg,2560,1600,76.66,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000016.jpg,1232,2188,32.5,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000017.jpg,1196,768,157.52,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000018.jpeg,5629,3753,70.67,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000019.jpg,1152,2048,90.04,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000020.jpg,736,920,111.82,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000021.jpg,600,900,107.5,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000022.jpg,1920,1280,32.64,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000023.jpg,1890,4096,138.2,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000024.jpeg,3189,3986,119.34,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000025.jpeg,2000,3000,151.83,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000026.jpg,720,768,83.07,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000027.jpg,760,570,80.26,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000028.jpg,640,480,66.81,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000029.jpg,1280,720,134.99,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000030.jpg,3187,2104,78.14,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000031.jpg,866,1390,148.29,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000032.jpg,640,480,95.73,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000033.jpg,2336,1575,23.81,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000034.jpg,672,474,107.33,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000035.jpg,527,607,121.02,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000036.jpg,754,900,85.4,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000037.jpg,920,1390,84.89,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000038.jpg,1232,2188,32.5,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000039.jpg,552,900,90.67,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000040.jpg,1290,2796,85.63,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000041.jpg,858,536,80.19,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000042.jpg,520,924,64.27,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000043.jpg,1200,1200,84.61,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000044.jpg,696,1024,154.94,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000045.jpg,750,903,92.45,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000046.jpg,1024,768,201.17,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000047.jpg,811,1289,114.68,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000048.jpg,850,604,190.57,1
dataset/ronaldo\Cristiano_Ronaldo_2014_face\000049.jpg,736,1311,133.01,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000001.jpg,3840,2400,94.45,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000002.jpg,800,1422,136.67,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000003.jpeg,5629,3753,70.67,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000004.jpg,1152,2048,90.04,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000005.png,5628,4000,88.81,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000006.jpeg,3978,6000,92.81,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000007.jpg,1080,2160,131.93,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000008.jpeg,2160,2700,79.4,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000009.jpeg,1819,2729,101.25,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000010.jpeg,2299,4096,112.07,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000011.jpeg,5304,7952,129.35,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000012.jpg,1232,2188,32.5,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000013.jpeg,1800,2700,89.69,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000014.jpeg,3189,3986,119.34,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000015.jpg,1500,945,182.5,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000016.jpeg,5363,3575,135.58,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000017.jpeg,4285,6000,150.71,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000018.jpeg,1943,2914,113.7,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000019.jpg,1920,1280,32.64,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000020.jpg,3000,1688,176.23,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000021.jpg,982,1690,93.81,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000022.jpeg,2000,3000,151.83,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000023.jpeg,3428,5152,42.39,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000024.jpeg,6048,4024,203.7,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000025.jpg,1890,4096,138.2,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000026.jpeg,3888,5184,48.55,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000027.jpeg,3862,6000,92.5,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000028.jpeg,3452,5177,92.63,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000029.jpg,1205,1567,162.46,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000030.jpg,1763,1200,49.33,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000031.jpg,2560,1600,76.66,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000032.jpg,2160,3840,75.95,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000033.jpg,1125,2436,151.49,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000034.jpg,1000,1000,154.88,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000035.jpg,720,768,83.07,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000036.jpg,3333,1874,190.81,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000037.jpg,931,1572,190.21,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000038.jpg,1920,1280,32.64,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000039.jpg,1136,779,84.88,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000040.jpg,1280,1238,74.44,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000041.jpg,552,900,90.67,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000042.jpg,754,900,85.4,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000043.jpg,1152,2048,158.96,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000044.jpg,3000,1688,176.27,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000045.jpg,1300,956,47.69,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000046.jpg,1300,956,79.1,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000047.jpg,768,1344,60.86,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000048.jpg,1280,815,193.59,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000049.jpg,1080,2340,73.87,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000050.jpg,520,924,64.27,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000051.jpg,640,640,81.96,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000052.jpg,960,1200,158.98,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000053.jpg,1920,1280,32.64,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000054.jpg,640,640,81.96,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000055.jpg,736,736,45.62,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000056.jpg,2560,2880,60.36,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000057.jpg,324,490,160.51,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000058.jpg,1080,2160,131.93,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000059.jpg,850,604,190.57,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000060.jpg,736,1311,133.01,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000061.jpg,736,957,162.47,1
dataset/ronaldo\Cristiano_Ronaldo_2020_face\000062.jpg,426,639,103.81,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000001.jpg,1080,2400,104.03,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000002.jpg,800,1422,136.67,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000003.jpeg,5629,3753,70.67,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000004.jpeg,3189,3986,119.34,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000005.jpg,850,1700,62.04,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000006.jpg,3840,2400,94.45,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000007.jpg,1232,2188,32.5,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000008.jpeg,4000,6000,134.92,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000009.jpg,720,1280,120.56,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000010.jpg,4000,2668,130.25,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000011.jpg,1080,1920,66.42,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000012.jpg,1920,1280,32.64,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000013.jpg,1052,1868,131.64,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000014.jpeg,4000,6000,38.0,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000015.jpg,3225,2260,74.44,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000016.jpg,676,1199,27.97,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000017.jpg,1183,2560,84.9,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000018.jpg,1152,2048,158.96,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000019.jpeg,1800,2700,89.69,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000020.jpg,1152,2048,90.04,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000021.jpg,850,1511,75.4,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000022.jpeg,1943,2914,113.7,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000023.jpg,1080,2160,131.93,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000024.jpg,1890,4096,138.2,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000025.jpeg,2160,2700,79.4,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000026.jpeg,3888,5184,48.55,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000027.jpg,1920,1080,51.99,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000028.jpg,2380,2974,83.45,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000029.jpg,1920,1280,32.64,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000030.jpg,1920,1280,75.86,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000031.jpg,1400,1050,127.15,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000032.jpg,512,512,142.73,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000033.jpg,1400,788,98.21,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000034.jpg,735,804,105.99,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000035.jpg,800,533,67.88,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000036.jpg,612,342,133.55,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000037.jpg,2560,2560,147.52,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000038.jpg,1763,1200,49.33,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000039.jpg,720,768,83.07,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000040.jpg,1200,1200,110.42,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000041.jpg,1205,1567,162.46,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000042.jpg,2560,1600,76.66,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000043.jpg,2160,3840,75.95,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000044.jpg,1200,1200,77.55,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000045.jpg,960,1200,87.02,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000046.jpg,2000,2500,105.77,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000047.jpg,721,1280,109.16,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000048.jpg,683,1024,113.35,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000049.jpg,640,1136,72.74,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000050.jpg,1200,800,50.47,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000051.jpg,768,1344,60.86,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000052.jpg,736,1308,65.52,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000053.jpg,1200,900,53.9,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000054.jpg,1600,900,115.17,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000055.jpg,481,626,104.06,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000056.jpg,736,1594,156.31,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000057.jpg,982,1690,93.81,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000058.jpg,1280,720,94.84,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000059.jpg,720,900,163.55,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000060.jpg,736,1600,52.13,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000061.jpg,1980,1114,48.36,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000062.jpg,520,924,64.27,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000063.jpg,800,1422,89.04,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000064.jpg,960,1200,158.98,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000065.jpg,850,604,190.57,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000066.jpg,736,736,102.07,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000067.jpg,736,1311,133.01,1
dataset/ronaldo\Cristiano_Ronaldo_2022_face\000068.jpg,552,900,90.67,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000001.jpg,5568,3712,101.39,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000002.jpg,1080,1920,107.02,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000003.jpg,3500,2333,103.36,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000004.jpg,1080,1920,87.65,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000005.jpg,736,1308,87.7,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000006.jpg,1080,1920,142.47,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000007.jpg,1200,675,145.86,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000008.jpg,2560,1706,114.94,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000009.jpg,1500,922,111.62,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000010.jpg,1200,675,111.02,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000011.jpg,1920,1080,116.67,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000012.jpg,3000,1500,110.46,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000013.jpg,3430,2571,86.04,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000014.jpg,1920,1080,96.17,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000015.jpg,1489,1020,118.76,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000016.jpg,5568,3712,109.9,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000017.jpg,1920,1080,84.85,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000018.jpg,1200,799,91.65,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000019.jpg,1920,1080,91.18,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000020.jpg,1536,864,164.41,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000021.jpg,1920,1080,104.33,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000022.jpg,2560,1707,75.3,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000023.jpg,5568,3712,101.33,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000024.jpg,1080,1920,130.72,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000025.jpg,3500,2333,103.36,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000026.jpg,1156,1280,101.41,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000027.jpg,736,1070,71.77,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000028.jpg,2200,1300,59.1,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000029.jpg,1980,1245,119.47,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000030.jpg,2000,1000,91.13,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000031.jpg,1920,1080,94.32,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000032.jpg,1080,1919,138.79,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000033.jpg,720,900,163.55,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000034.jpg,1920,1080,104.27,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000035.jpg,1200,670,125.93,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000036.jpg,1920,1080,85.38,1
dataset/ronaldo\Cristiano_Ronaldo_Al_Nassr_face\000037.jpg,1024,576,164.43,1
dataset/ronaldo\Cristiano_Ronaldo_angry_face\000001.jpg,624,1110,101.44,1
dataset/ronaldo\Cristiano_Ronaldo_angry_face\000002.jpg,1239,1611,133.81,1
dataset/ronaldo\Cristiano_Ronaldo_angry_face\000003.jpg,945,630,142.47,1
dataset/ronaldo\Cristiano_Ronaldo_angry_face\000004.jpg,1280,720,108.19,1
dataset/ronaldo\Cristiano_Ronaldo_angry_face\000005.jpg,236,290,136.12,1
dataset/ronaldo\Cristiano_Ronaldo_angry_face\000006.jpg,1920,1080,29.16,1
dataset/ronaldo\Cristiano_Ronaldo_angry_face\000007.jpg,720,1280,103.68,1
dataset/ronaldo\Cristiano_Ronaldo_angry_face\000008.jpg,408,720,112.93,1
dataset/ronaldo\Cristiano_Ronaldo_angry_face\000009.jpg,674,845,10.46,1
dataset/ronaldo\Cristiano_Ronaldo_angry_face\000010.jpg,1200,740,95.68,1
dataset/ronaldo\Cristiano_Ronaldo_angry_face\000011.jpg,1200,740,84.22,1
dataset/ronaldo\Cristiano_Ronaldo_angry_face\000012.jpg,1024,1024,72.35,1
